number,name,district,reserved
73,Vanur,Viluppuram,SC
74,Villupuram,Viluppuram,
75,Vikravandi,Viluppuram,
76,Tirukkoyilur,Viluppuram,
77,Ulundurpettai,Kallakurichi,
78,Rishivandiyam,Kallakurichi,
79,Sankarapuram,Kallakurichi,
80,Kallakurichi,Kallakurichi,SC
81,Gangavalli,Salem,SC
82,Attur,Salem,SC
83,Yercaud,Salem,ST
84,Omalur,Salem,
85,Mettur,Salem,
86,Edappadi,Salem,
87,Sangagiri,Salem,
88,Salem (West),Salem,
89,Salem (North),Salem,
90,Salem (South),Salem,
91,Veerapandi,Salem,
92,Rasipuram,Namakkal,SC
93,Senthamangalam,Namakkal,ST
94,Namakkal,Namakkal,
95,Paramathi-Velur,Namakkal,
96,Tiruchengodu,Namakkal,
97,Kumarapalayam,Namakkal,
98,Erode (East),Erode,
99,Erode (West),Erode,
100,Modakkurichi,Erode,
101,Dharapuram,Tiruppur,SC
102,Kangayam,Tiruppur,
103,Perundurai,Erode,
104,Bhavani,Erode,
105,Anthiyur,Erode,
106,Gobichettipalayam,Erode,
107,Bhavanisagar,Erode,SC
108,Udhagamandalam,Nilgiris,
109,Gudalur,Nilgiris,SC
110,Coonoor,Nilgiris,
111,Mettupalayam,Coimbatore,
112,Avanashi,Tiruppur,SC
113,Tiruppur (North),Tiruppur,
114,Tiruppur (South),Tiruppur,
115,Palladam,Tiruppur,
116,Sulur,Coimbatore,
117,Kavundampalayam,Coimbatore,
118,Coimbatore (North),Coimbatore,
119,Thondamuthur,Coimbatore,
120,Coimbatore (South),Coimbatore,
121,Singanallur,Coimbatore,
122,Kinathukadavu,Coimbatore,
123,Pollachi,Coimbatore,
124,Valparai,Coimbatore,SC
125,Udumalaipettai,Tiruppur,
126,Madathukulam,Tiruppur,
127,Palani,Dindigul,
128,Oddanchatram,Dindigul,
129,Athoor,Dindigul,
130,Nilakottai,Dindigul,SC
131,Natham,Dindigul,
132,Dindigul,Dindigul,
133,Vedasandur,Dindigul,
134,Aravakurichi,Karur,
135,Karur,Karur,
136,Krishnarayapuram,Karur,SC
137,Kulithalai,Karur,
138,Manapaarai,Tiruchirappalli,
139,Srirangam,Tiruchirappalli,
140,Tiruchirappalli (West),Tiruchirappalli,
141,Tiruchirappalli (East),Tiruchirappalli,
142,Thiruverumbur,Tiruchirappalli,
143,Lalgudi,Tiruchirappalli,
144,Manachanallur,Tiruchirappalli,
145,Musiri,Tiruchirappalli,
146,Thuraiyur,Tiruchirappalli,SC
147,Perambalur,Perambalur,SC
148,Kunnam,Perambalur,
149,Ariyalur,Ariyalur,
150,Jayankondam,Ariyalur,
151,Tittakudi,Cuddalore,SC
152,Virudhachalam,Cuddalore,
153,Neyveli,Cuddalore,
154,Panruti,Cuddalore,
155,Cuddalore,Cuddalore,
156,Kurinjipadi,Cuddalore,
157,Bhuvanagiri,Cuddalore,
158,Chidambaram,Cuddalore,
159,Kattumannarkoil,Cuddalore,SC
160,Sirkazhi,Mayiladuthurai,SC
161,Mayiladuturai,Mayiladuthurai,
162,Poompuhar,Mayiladuthurai,
163,Nagapattinam,Nagapattinam,
164,Kilvelur,Nagapattinam,SC
165,Vedaranyam,Nagapattinam,
166,Thiruthuraipoondi,Tiruvarur,SC
167,Mannargudi,Tiruvarur,
168,Thiruvarur,Tiruvarur,
169,Nannilam,Tiruvarur,
170,Thiruvidaimarudur,Thanjavur,SC
171,Kumbakonam,Thanjavur,
172,Papanasam,Thanjavur,
173,Thiruvaiyaru,Thanjavur,
174,Thanjavur,Thanjavur,
175,Orathanadu,Thanjavur,
176,Pattukkottai,Thanjavur,
177,Peravurani,Thanjavur,
178,Gandarvakottai,Pudukkottai,SC
179,Viralimalai,Pudukkottai,
180,Pudukkottai,Pudukkottai,
181,Thirumayam,Pudukkottai,
182,Alangudi,Pudukkottai,
183,Aranthangi,Pudukkottai,
184,Karaikudi,Sivaganga,
185,Tiruppattur,Sivaganga,
186,Sivaganga,Sivaganga,
187,Manamadurai,Sivaganga,SC
188,Melur,Madurai,
189,Madurai East,Madurai,
190,Sholavandan,Madurai,SC
191,Madurai North,Madurai,
192,Madurai South,Madurai,
193,Madurai Central,Madurai,
194,Madurai West,Madurai,
195,Thiruparankundram,Madurai,
196,Thirumangalam,Madurai,
197,Usilampatti,Madurai,
198,Andipatti,Theni,
199,Periyakulam,Theni,SC
200,Bodinayakanur,Theni,
201,Cumbum,Theni,
202,Rajapalayam,Virudhunagar,
203,Srivilliputhur,Virudhunagar,SC
204,Sattur,Virudhunagar,
205,Sivakasi,Virudhunagar,
206,Virudhunagar,Virudhunagar,
207,Aruppukkottai,Virudhunagar,
208,Tiruchuli,Virudhunagar,
209,Paramakudi,Ramanathapuram,SC
210,Tiruvadanai,Ramanathapuram,
211,Ramanathapuram,Ramanathapuram,
212,Mudhukulathur,Ramanathapuram,
213,Vilathikulam,Thoothukudi,
214,Thoothukkudi,Thoothukudi,
215,Tiruchendur,Thoothukudi,
216,Srivaikuntam,Thoothukudi,
217,Ottapidaram,Thoothukudi,SC
218,Kovilpatti,Thoothukudi,
219,Sankarankovil,Tenkasi,SC
220,Vasudevanallur,Tenkasi,SC
221,Kadayanallur,Tenkasi,
222,Tenkasi,Tenkasi,
223,Alangulam,Tenkasi,
224,Tirunelveli,Tirunelveli,
225,Ambasamudram,Tirunelveli,
226,Palayamkottai,Tirunelveli,
227,Nanguneri,Tirunelveli,
228,Radhapuram,Tirunelveli,
229,Kanniyakumari,Kanyakumari,
230,Nagercoil,Kanyakumari,
231,Colachal,Kanyakumari,
232,Padmanabhapuram,Kanyakumari,
233,Vilavancode,Kanyakumari,
234,Killiyoor,Kanyakumari,
